filename,transcript
0089.wav,"ராஜீவ் காந்தி வந்து யார் சொல்றதையும் கேட்காம, இல்ல நான் கண்டிப்பா வருவேன்னு சொல்றாரு, சொன்னது மட்டும் இல்லாம செய்யவும் செய்றாரு. சென்னை வந்து சேர்றாரு. ஆஃப்டர்நூன்ல இருந்து ஈவினிங் வரைக்கும் பாத்தீங்கன்னா, ஏகப்பட்ட மீட்டிங்ஸ் முன்ன பின்ன எல்லாமே போயிட்டு இருக்குது."
0090.wav,"ஃபைனலி ஒரு ரோட் ஷோ, ஸ்ரீபெரும்புதூருக்கு ரோட் வழியா போறாரு, போற வழியில எல்லாரு கிட்டயும் கை காமிச்சிட்டு போறாரு. ராத்திரி நேரம் பத்து மணிக்கு வந்து ஸ்ரீபெரும்புதூர்ல இந்த கூட்டத்துக்கு வந்து சேர்றாரு."
0091.wav,"சோ இந்த கூட்டத்தை பத்தி நம்ம ஒரு செகண்ட் பார்த்துப்போம். இந்த கூட்டமோட அமைப்பே எப்படி இருக்குன்னு பாத்தீங்கன்னால், ஸ்டேஜ் சென்டர்ல இருக்குது, ஒரு பெரிய சர்க்கிள் மாதிரி வந்து முன்னாடி எல்லாரும் உட்கார்றதுக்கு நிக்கறதுக்கு எல்லாம் வந்து இடம் கொடுத்துருக்காங்க, அது எல்லாத்தையுமே பேரிகேட் போட்டுருக்காங்க."
0092.wav,"அண்ட் ரெண்டு முக்கியமான ஸ்பாட்ஸ் இருக்குது, ஒன்னு ஃபுல்லா ரெட் கார்பெட், ஓகேவா, ரெட் கார்பெட் உள்ள போட்டு, அங்க வந்து மேடை, இவர் என்டர் ஆகி அப்படி போய் மேல நிக்கிறதுக்கு, சைடுல மக்கள் நிக்கிறதுக்கு இடம்."
0093.wav,"இதுல ஸ்டார்ட்டிங்ல வந்து ஒரு வெல்கம் ஏரியா அப்படின்னு ஒன்னு வச்சு, அங்க எக்ஸ்ட்ராவா ப்ரொடெக்ஷன்லாம் போட்டு, அங்க போலீஸ்லாம் நின்னு, ஏன்னா இந்த வெல்கம் ஏரியா அப்படிங்கற இடத்துல இந்த ரெட் கார்பெட் என்டர் ஆன உடனே இருக்குல்ல, இங்க வந்து ராஜீவ் காந்தி வந்த உடனே அங்க இருக்கற மக்கள் கூட இன்டராக்ட் பண்ணிட்டுதான் அவர் வந்து ஸ்டேஜ் நோக்கி போக போறாரு."
0094.wav,"சோ இந்த வெல்கம் ஏரியால வந்து போலீஸ் ப்ரொடெக்ஷன் எக்ஸ்ட்ராவே போடப்பட்டிருக்குது. அண்ட் இது எல்லாத்துக்கும் முன்னாடி இந்த ரெட் கார்பெட்லாம் ஆரம்பிக்கிறதுக்கு முன்னாடி பாத்தீங்கன்னா, இந்திரா காந்திக்கு வந்து ஒரு சிலையும் அங்க இருக்கு அப்படிங்கறாங்க, இந்திரா காந்தியோட ஒரு உருவம் அங்க இருக்குது."
0095.wav,"சோ வந்து அவங்க அவரு அங்க மாலை போட்டுட்டு, அதுக்கப்புறம் உள்ளுக்குள்ள அவர் என்டர் ஆகுற மாதிரிதான் செட் பண்ணி வச்சிருக்காங்க."
0096.wav,"ஏன்னா அவரோட பிளைட் வந்து அங்க டிலே ஆயிருது, எல்லாமே டிலே டிலேவா இருக்கறப்போ, வேகமா இத முடிக்கணும், அடுத்த அன்னைக்கு அடுத்த நாள் பாத்தீங்கன்னா, வந்து எலக்ஷன் கேம்பெயின் பண்ணக்கூடாது, அந்த நாற்பத்து எட்டு ஹவர்ஸ் வந்து சும்மா இருக்கணும்ல, எலக்ஷனுக்கு முன்னாடி அந்த டைம் ஆரம்பிக்க போகுது."
0097.wav,"சோ எல்லாருமே வேகமாதான் முடிக்கணும்னு சொல்லிட்டு, ஸ்டேஜ்ல எல்லாரும் இருக்காங்க."
0098.wav,"இப்ப அவங்களோட ஸ்டோரி பாத்தீங்கன்னால், ராஜீவ் காந்தி இங்க வருவாருங்கறது ஒரு லாஸ்ட் மினிட் பிளான், நம்ம முதல்ல இருந்தே சொன்ன மாதிரி."
0099.wav,"அண்ட் இங்க வந்து ஒரு விஷயம் நம்ம கவனிக்கணும், ப்ரொடெக்ஷன் அப்படின்னு சொல்றப்போ, இன்னைக்கு இருக்கக்கூடிய மோஸ்ட் சோபிஸ்டிகேட்டட் ப்ரொடெக்ஷன்லாம் இன்னைக்கு கிடையாது, அப்ப வந்து பெண்களை வந்து பிரிஸ்க் பண்ண மாட்டாங்களாம், இப்பல்லாம் மெட்டல் டிடெக்டர் வச்சு ஆம்பளைங்க பொம்பளைங்க எல்லாருமே ஒண்ணா கோவில்ல இருந்து எல்லா இடத்துலயும் ஒரே மாதிரிதானே ட்ரீட் பண்ணறாங்க, பட் அப்போ பொண்ணுங்களை வந்து செக் பண்ணி பார்க்க மாட்டாங்களாம், ஃபுல்லா அது வந்து பொண்ணுங்க அப்படிங்கறதுனால விட்டுருவாங்களாம், இதெல்லாம் வந்து அவங்க அட்வான்டேஜா எடுத்துருக்காங்க."
0100.wav,"அடுத்த விஷயம் என்னன்னு பாத்தீங்கன்னா, லாஸ்ட் மினிட்ல இந்த இடம் கன்ஃபார்ம் ஆகி, திடீர்னு கூட்டம் எல்லாம் வந்த ஒரு காரணத்தினால, அந்த இடத்துல வந்து தேவையான ப்ராப்பர் வெட்டிங், ஃபுல் ஏரியாவ வந்து செக்யூரிட்டி செக், அதெல்லாம் பண்ண முடியல."
0101.wav,"இன்னைக்கு நம்ம பார்கறோம், ஒரு அரசியல் கட்சி வந்து மாநாடு நடத்தனும்னா, அதுக்கு எவ்வளவு நாள் ப்ராசஸ், எவ்வளவு மாசம் ஆகுது? இது எதுவுமே பண்ணாம வேக வேகமா நடத்தப்பட்டதுங்கறப்போ, ப்ராப்பரான கிளென்சிங் ஆப் தி ஏரியாவுமே கிடையாது."
0102.wav,"இதுக்கு நடுவுலதான் ராஜீவ் காந்தி அங்க வந்து நிக்கிறாரு, மணி பத்து மணி, இன்னும் பத்து நிமிஷத்துல அவர் இறந்து போக போறாரு."
0103.wav,"எல்லாருமே வந்து ராஜீவ் காந்திக்கு பயங்கர, ஏன்னா எஸ்பெஷலி அது காங்கிரஸ் கூட்டம்ங்கறப்ப, அவருக்கு எவ்வளவோ ஹைப்பா இருப்பாங்க, அதுவும் அவர் வர வேணாம்ன்னு சொன்னதுக்கு அப்புறம், அவரு இல்ல நான் வருவேன்னு சொல்லி வந்துருக்காருங்கறது ஆல்மோஸ்ட் எல்லாருக்குமே தெரியும்."
0104.wav,"ஒன் செகண்ட், இவ்வளவு டீடைல்டா இன்னைக்கு வீடியோவ நான் இத உங்ககிட்ட எக்ஸ்பிளைன் பண்ணிருக்கறதுக்கு காரணம் என்னன்னு பாத்தீங்கன்னால், இப்ப ரீசன்டா சோனி லிவ்ல தி ஹன்ட் அப்படிங்கிற ஒரு சீரீஸ் வந்திருக்குது."
0105.wav,"இந்த சீரீஸ்ல வெறும் தொண்ணூறு டேஸ்ல எப்படி கார்த்திகேயன் அப்படிங்கறவங்களும், அவங்களோட ஸ்பெஷல் இன்வெஸ்டிகேஷன் டீமும் வந்து எப்படி இந்த மொத்த கேஸ கிராக் பண்ணாங்கங்கறத செமையா டாக்குமெண்ட் பண்ணி இருக்காங்க."
0106.wav,"அண்ட் நம்ம மெயினா கவனிக்க வேண்டியது என்னன்னு பாத்தீங்கன்னா, இந்த இன்வெஸ்டிகேஷனே வந்து ஒரு பயங்கர பிரைனியா இருந்திருக்கணும், காரணம் அன்னைக்கு வந்து இன்னைக்கு இருக்குற அளவுக்கு இன்டர்நெட்டோ, சிசிடிவியோ, இது எதுவுமே கிடையாது, கரெக்டா, அவங்களுக்கு கிடைச்சது எல்லாமே வந்து ஒரு கேமரா, அதுல இருந்து எப்படி மொத்த கேஸ பில்ட் பண்ணி, வெறும் தொண்ணூறு டேஸ்ல யார் யார் இன்வால்வ் ஆனாங்கங்கறத புடிச்சாங்கங்கறது அப்சல்யூட் மேட்னஸ்."
0107.wav,"நீங்க சோனி லிவ்ல இருக்குற தி ஹன்ட் எட்டு புள்ளி ஐந்து ஐஎம்டிபி ரேட்டிங் கொண்ட இந்த சீரீஸ பாக்கணும்னா, மறக்காம சோனி லிவ் ஆப்ல சர்ச் பண்ணி பாருங்க. அண்ட் இப்போ நம்ம கதைய கண்டினியூ பண்ணுவோம்."
0108.wav,"வந்த இடத்துல இன்னும் பத்து நிமிஷத்துல அவர் இறந்து போக போறாரு. இந்த கூட்டத்துக்கு நடுவுல அந்த ஸ்பெஷல் வெல்கம் ஏரியா இருக்குல்ல, அதுக்குள்ள தானு அவங்க வந்து அலோவ் பண்ணப்படல, அவங்க வெளியதான் இருக்காங்க. அந்த நேரத்துல என்ன ஆகுதுன்னு பாத்தீங்கன்னால், இங்க மீதி இருக்கறவங்க எல்லாருமே நின்னுட்டு இருக்காங்க."
0109.wav,"அப்ப அவர் உள்ள என்டர் ஆன உடனே ஒரு சின்ன பொண்ணு, அவங்க வந்து ராஜீவ் காந்திக்கு ஒரு கவிதை சொல்றேன் அப்படின்னு சொல்லி சொல்றாங்க, ஒரு காங்கிரஸ் வொர்க்கிங் வுமனோட பொண்ணுதான். ராஜீவ் காந்தி அதை கேட்டுட்டு இருக்காரு, கிட்ட இன்னொரு ஒரு காலேஜ் பொண்ணு இருக்காங்க, மாலை போடுறதுக்கு நிறைய பேர் வந்துட்டு இருக்காங்க."
0110.wav,"இதெல்லாம் பாத்துட்டு இருக்கப்போ, இந்த தானு அப்படிங்கறவங்க, இவங்கதான் மனித வெடிகுண்டு, இவங்க அந்த கூட்டத்துக்குள்ள வந்து எப்படியாவது ராஜீவ் காந்தி கிட்ட வந்துரணும்ன்னு பாக்குறாங்க."
0111.wav,"அவங்க எப்படியாவது உள்ள வந்துரணும்னு பாக்குறாங்க, ஏன்னா கமோஷன், ஓகேவா, ப்ராப்பரான பிளானிங் கிடையாது, திடீர்னு எல்லாரும் உள்ள வராங்க, இதெல்லாம் நடந்துட்டு இருக்கப்போ, ராஜீவ் காந்தி கவனிக்கிறாரு, அண்ட் ஐ டோன்ட் நோ இது வந்து என்ன மாதிரி ஒரு ஃபேட்னு, ராஜீவ் காந்தி அவங்களை பார்கறாங்க, ராஜீவ் காந்தி அவங்களை பார்த்துட்டு, தானுவ வா அப்படின்னு சொல்லி கூப்பிடுறாங்க, உங்கள விடுங்க அப்படின்னு சொல்லிட்டு, அந்த போலீஸ் கிட்டையும் சொல்றாங்க, என்ன மாதிரி மாதிரி ஒரு டிசைன் இது பாருங்க."
0112.wav,"அவங்களேதான் கூப்பிடுறாங்க இவங்கள உள்ள, எக்ஸ் பிரைம் மினிஸ்டர் வந்து விடுன்னு சொன்னதுக்கு அப்புறம், யாரு கேட்க முடியும்."
0113.wav,"அத நிறைய பேர் வந்து, சில தலைவர்கள் அதெல்லாம் கண்டுக்காம போவாங்க, அதை நிறைய பேர் பார்த்துட்டு, இல்ல இவங்க அடேசியஸா இருக்காங்க, திமிரா இருக்காங்க, திமிறு இல்லப்பா, இதுதான் ப்ரொசீஜர், என்ன நடந்துருக்குன்னு பாருங்க."
0114.wav,"குனியற அப்போ, சைடுலயே வந்து ஒரு பட்டன் வச்சிருக்காங்க, அந்த பட்டனை பிரஸ் பண்ணறாங்க, அட் டைம் பத்து, ராஜீவ் காந்தி, தானு, சுத்தி இருந்த பத்து மீட்டருக்கு இருக்கற அத்தனை பேரும், கிட்டத்தட்ட ஒரு பதினைந்து, பதினேழு பேர் வந்து மொத்தமா இதோட வெளிப்பாடாவே இறந்து போறாங்க."
0115.wav,"இது போக ஏகப்பட்ட பேர் காயப்படுறாங்க, சவுண்ட் மட்டும்தான் எல்லாருக்கும் கேக்குது, மொத்த கூட்டமும் கமோஷன்ல எங்கெல்லாமோ ஓடுறாங்க, ஸ்டேஜ்ல இருந்த தலைவர்கள் எல்லாம் கீழ ஓடி வராங்க, ஆளே கண்டுபிடிக்க முடியல, எங்க தலை இருக்குது, எங்க உடம்பு இருக்குது, எதுவுமே தெரியல."
0116.wav,"கடைசில ராஜீவ் காந்தியோட ஷூ, அவர் எந்த ஷூ போட்டுருந்தாருங்கறத பார்த்துட்டு, அந்த காலை பிடிச்சு கதறி அழுதி, கடைசியில ராஜீவ் காந்தி இறந்துட்டாரு அப்படிங்கறத வந்து ஒரு பத்து இருபத்து ஐந்துக்கு பதினைந்து நிமிஷத்துக்கு உடலை தேடி இருக்காங்க, காலை வச்சு கடைசியில கண்டுபிடிச்சிருக்காங்க."
0117.wav,"அதுக்கப்புறம் தான் அன்னைக்கு ராத்திரி சோனியா காந்தி, அவங்களோட மனைவிக்கு சொல்லப்படுது. இந்தியாவுக்குள்ளயே கொஞ்சம் கொஞ்சமா நியூஸ் வர ஆரம்பிக்குது. இதுல இருக்கறதுலயே ஒரு கிரேஸியான விஷயம் என்னன்னு பாத்தீங்கன்னால், சுத்தி இருக்கறவங்க எல்லாருமே இறந்து போயிருக்காங்கல்ல, ஆனா ஒரு கேமரா சர்வைவ் ஆச்சு."
0118.wav,"இந்த ஒரு கேமராதான் இன்னைக்கு ராஜீவ் காந்தி அவங்களை யாரு கொன்னாங்கங்கறதுக்கான எல்லா டீடையல்ஸும் கிடைச்ச ஒரு கேமராவா, போலீஸ் அண்ட் சிபிஐ ட்ரீட் பண்ணி இருக்காங்க."
0119.wav,"கிட்டவே வந்து ஒரு போட்டோகிராபர், ராஜீவ் காந்தி உள்ள வந்தது, அவர் கவிதை சொல்லி ஒரு பொண்ணுகிட்ட கேட்டது, சுத்தி யார் யார் இருந்தாங்க, யாரு வந்து கரெக்டா இந்த மாலையை போட வந்தாங்க, யாரு டெட்டனேட் பண்ணாங்க குண்ட அப்படிங்கற எல்லா விஷயமும் போட்டோஸ்ல ரெஜிஸ்டர் ஆயிருக்குது."
0120.wav,"நம்மளுக்கு தெரியும், போட்டோகிராபர்ஸ் வந்து எப்படி பிரைம் மினிஸ்டர் போட்டோ எடுப்பாங்க, சட் சட் சர்ட்ன்னு அடிச்சுக்கிட்டே இருப்பாங்கல, அதுக்கப்புறம்தான் போஸ்ட்டா எது பெட்டரா இருக்குதுன்னு சொல்லி எடுப்பாங்க. அப்படி கண்டமா கிளிக் பண்ணப்போ, இன்ச் பை இன்சா என்ன நடந்துருக்குங்கற எல்லா விஷயமும் கிடைச்சிருக்குது."
0121.wav,"இருபத்து ஒரு சென்சுரியோட மோஸ்ட் அட்வான்ஸ்டு ட்ரோன்ஸ் எல்லாம் வச்சு சண்டை போடுற அளவுக்கு டெக்னாலஜி வந்து, உங்கள டெய்லி ஏன் இந்த வீடியோ பாத்துட்டு இருக்கப்போ கூட கடிக்க வரக்கூடிய ஒரு கொசுள்ள ஒரு மஸ்கிட்டோக்குள்ள இருக்குதுன்னு சொன்னா, உங்களால நம்ப முடியுமா?"
0122.wav,"வெல், அதை விடுங்க, ஒரு காக்கா வெளிய போனா சுத்திட்டு இருக்கற காக்கா இருக்குல்ல, ஒரு காக்கா வந்து ஒரு குரோ வந்து நம்மள கிட்டத்தட்ட வருஷக்கணக்கா ஞாபகம் வச்சு பழி வாங்குற அளவுக்கு அதுக்கு மைண்ட் இருக்குன்னு சொன்னா, நம்மளால நம்ப முடியுமா?"
0123.wav,நம்மள சுத்தி இருக்கக்கூடிய அனிமல்ஸ் ஒவ்வொன்னுக்குள்ளயும் ஏகப்பட்ட சூப்பர் பவர் இருக்குது.
0124.wav,"நம்ம ரொம்ப அசால்ட்டா இதெல்லாம் நினைச்சுட்டு லெஃப்ட் ஹேண்ட்ல டீல் பண்ணிட்டு போயிட்டு இருக்கோம். பட் ஒவ்வொன்னுக்குள்ளயும் அவ்வளோ விஷயங்கள் இருக்குது. என்னென்ன அப்படிங்கறத நான் உங்ககிட்ட ஒவ்வொன்னா சொல்றேன். கிரேசிங்க! நான் உண்மையிலேயே சொல்றேன், இதுல ரொம்ப ஆச்சரியப்பட்டது மஸ்கிட்டோவ பார்த்துதான்."
0125.wav,ஒரு கொசுக்குள்ள இவ்வளோ டேலன்டடா அப்படின்னு யோசிக்கிற மாதிரி இருந்துச்சு. சோ அங்க இருந்தே ஆரம்பிக்க போறேன். அண்ட் பதினைந்தையும் நான் சொல்ல போறேன். அதுல எந்த அனிமலோட சூப்பர் பவர் உங்களுக்கு வேணும்ன்னு நீங்க நினைக்கிறீங்கங்கறதை கமெண்ட்ல சொல்லுங்க.
0126.wav,"சொல்ல முடியாதுங்க, கிடைச்சாலும் கிடைக்கும். இப்ப நான் உங்ககிட்ட ஒவ்வொன்னா சொல்ல ஆரம்பிக்கிறேன். பட் அஸ் ஐ ஆல்வேஸ் சே, அதை பார்க்க ஆரம்பிக்கிறதுக்கு முன்னாடி, இந்த மாதிரி நம்மள சுத்தி இருக்கக்கூடிய இன்ட்ரஸ்டிங்கான விஷயங்கள், நிறைய பேருக்கு தெரியாத விஷயங்களையும் நீங்க டெய்லி தெரிஞ்சுக்கணும்."
0127.wav,"உங்க பிரெண்ட்ஸ் கிட்ட போய் ஃிளெக்ஸ் பண்ணும். உங்க அம்மா கிட்ட கேஷுவலா நீங்க சொல்லி ஃிளெக்ஸ் பண்ணனும்னு நினைச்சீங்கன்னா, மதன் கௌரி சேனல சப்ஸ்கிரைப் பண்ணி எம்ஜி ஸ்கவாட்ல சேருங்க. சேர்ந்துட்டீங்களா, சப்ஸ்கிரைப் பண்ணிட்டீங்களா, இப்ப ஆரம்பிக்கலாமா?"
0128.wav,"ஹலோ எவரிஒன், நான் மதன் கௌரி அண்ட் ஹலோ மை டியர் எம்ஜி ஸ்கவாட்! ஃபர்ஸ்ட் விஷயம் என்ன அப்படின்னு பார்த்தீங்கன்னா, நான் சொன்ன மாதிரி மஸ்கிட்டோ கிட்ட இருந்து ஆரம்பிச்சிறேன்."
0129.wav,"ஏன்னா எனக்கு அதுதான் இருக்கறதுலயே மைண்ட் பப்ளோயிங்கா இருந்துச்சு. ஒரு கொசு வந்து எந்த சைடு ஹியூமன்ஸ் இருக்காங்கங்கறத கிட்டத்தட்ட நூறு ஃபீட் தூரத்துல, ஓகேவா, எவ்வளவு தூரம்ன்னு யோசிச்சு பாருங்க."
0130.wav,"அங்க இருந்தே டிடெக்ட் பண்ண முடியுமா? பிகாஸ் நம்ம வந்து பிரீத் அவுட் பண்ணக்கூடிய கார்பன் டை ஆக்சைடு இருக்குல்ல, அதை வச்சுதான் டிடெக்ட் பண்ணிக்கிடுமா? ஓகே, இங்கதான் மனுஷங்க இருக்காங்க அப்படின்னு சொல்லிட்டு. அதுக்கப்புறம் கிட்ட வர வர கொசுவோட கண்ணுல இருந்து நம்ம பார்த்தோம்."
0131.wav,"ஒரு மஸ்கிட்டோவோட கண்ணல பார்த்தோம்ன்னா, நம்மளோட பாடில இருந்து லைட்டா ஒரு வார்ம்த் இருக்குல்ல. நீங்க தொட்டு பாத்தீங்கன்னாலே தெரியும். எல்லாரோட உடம்பும் வந்து லைட்டா ஒரு ஹீட் இருக்கும். இந்த ஹீட்ட வந்து அந்த மஸ்கிட்டோ நார்ஸ்னால மஸ்கிட்டோஸ்னால டிடெக்ட் பண்ண முடியுமா?"
0132.wav,அதோட கண்ணுக்கு நம்ம இருக்கறது மட்டும் ரெட் கலர்ல தெரியும். இப்ப இந்த ரெட் கலர்ல இருக்கக்கூடிய இடங்கள்ல வந்து அந்த மஸ்கிட்டோஸ் வந்து கடிக்கிறதுக்கு ரொம்ப ஈஸியா வருது.
0133.wav,"காரணம் என்னன்னு பாத்தீங்கன்னா, இந்த மஸ்கிட்டோஸ் வந்து நம்மளுக்கு கடிக்கிறப்போ ஒரு சின்ன அனஸதேசியாவ கூட அந்த இடத்துல கொடுக்குமா. சோ தட் நம்மளுக்கு அங்க சுரணம் இருக்காது கொஞ்ச நேரத்துக்கு. அப்புறம்தான் நம்மளுக்கு வந்து இந்த கொசு கடிச்சிட்டு இருக்குனே தெரியும்."
0134.wav,சட்டுன்னு நம்ம அடிப்போம். இவ்வளோ டெக்னாலஜி வந்து ஒரு மஸ்கிட்டோக்குள்ள இருக்குதுன்னு யோசிச்சு பாருங்களேன்! பட் எல்லாத்தையும் இந்த கொசு இப்ப உங்களை சுத்திட்டு இருக்கப்ப கூட பண்ணிட்டு இருக்குங்கறத தெரிஞ்சுக்கோங்க.
0135.wav,"செகண்ட் சூப்பர் பவர் யாருக்கு அப்படின்னு பாத்தீங்கன்னால், நம்மள சுத்தி இருக்கக்கூடிய காக்காவுக்கு. சோ கக்ரோஸ்க்க வந்து இது எனக்கு உண்மையிலயே பயங்கர ஃபேசினேட்டிங்கா இருந்துச்சு."
0136.wav,மத்த கக்ரோஸ் கிட்ட சொல்லி இன்னும் கூப்பிட்டுட்டும் வர முடியுமா?
0137.wav,"அந்த அளவுக்கு காக்காக்கு வந்து ஞாபக சக்தி, ரிவெஞ்ச் பவர் எல்லாம் வந்து இருக்குது அப்படின்னு சொல்லி நம்மளுக்கு இப்ப தெரிஞ்சுக்க முடியுது. நெக்ஸ்ட் டைம் அந்த காக்கா மேல கல்ல விட்டு அடிக்கிறப்ப யோசிச்சிருந்துக்கோங்க."
0138.wav,"மூணாவது என்ன அப்படின்னு பாத்தீங்கன்னால், மாடு. மாடுக்கு என்ன மதன் சூப்பர் பவர் இருக்குது? இந்த புல்லை கொடுத்தா, பாலை குடுக்கும். அவ்வளவுதானே மதுன்னு கேட்டீங்கன்னா, மாடோட கண்ணை பாத்துருக்கீங்களா?"
0139.wav,ரெண்டு சைடும் இருக்குதுல்ல? ஒரு மாடுனால முந்நூறு அறுபது டிகிரி பார்க்க முடியுமா? தட் இஸ் இப்ப நீங்க இந்த வீடியோவை பார்த்துட்டு இருக்கீங்க. கரெக்டா? உங்களோட விஷன் எவ்வளவு இருக்கும்? ப்ராபப்லி இந்த எண்ட்ல இருந்து இந்த எண்ட் வரைக்கும்.
0140.wav,"கரெக்டா? நீங்க நேரா பாக்குறப்போ இந்த சைடுல இருந்து இந்த சைடு வரைக்கும் என்ன இருக்குன்னு தெரியும். இன்ஃபேக்ட் இந்த நூறு எண்பது டிகிரி இந்த லெஃப்ட் எக்ஸ்ட்ரீம்லயும், ரைட் எக்ஸ்ட்ரீம்லயும் என்ன இருக்குன்னு கூட நீங்க பார்க்க முடியாது. நீங்க திரும்பிதான் பாரக்கணும்."
0141.wav,"கரெக்டா, ஆனா ஒரு மாடுனால நேரா பாத்துட்டு இருக்கப்பமே நேரா தலை இப்படி இருக்குறப்பமே அப்படியே பின்னாடி என்ன நடந்துட்டு இருக்குங்கறதையும் பாத்துக்க முடியுமா? பிகாஸ் அதோட கண்ணு வந்து ரெண்டு சைடும் இருக்குது."
0142.wav,"கொஞ்சம் வெளியில வேற பல்ஜா இருக்குங்கறதுனால ஒரு மாடுக்கு முந்நூறு அறுபது டிகிரி வியூ இருக்காம். விச் மீன்ஸ், அந்த மாடை நீங்க பின்னாடியில இருந்து அடிக்க வரப்ப கூட அந்த மாடுக்கு தெரியும் நீங்க அடிக்க போறீங்கன்னு."
0143.wav,பின்னாடில இருந்து யாரோ வரப்ப கூட பின்னாடி முன்னாடி ஓடிட்டு இருக்கப்ப கூட பின்னாடி என்ன நடந்துட்டு இருக்குன்னு தெரியும். எனக்கு தெரிஞ்சு இது ஒரு பயங்கரமான சூப்பர் பவர்ங்க! யோசிச்சு பாருங்களேன்.
0144.wav,"அப்ப மாடுக்கெல்லாம் சன் கிளாஸ் போடணும்ன்னா எப்படி போடணும்? எனிவே, அடுத்த விஷயம் என்ன அப்படின்னு பார்த்தீங்கன்னா, ஃபோர்த் ஒன் நம்ம ஊர்ல இருக்கக்கூடிய ரெகுலர் எருமை மாட்டுக்கு வருவோம். மதனே, என்ன மதனே, எருமை மாட்டுக்கு என்ன மதன்னு இருந்துர போகுது."
0145.wav,எங்க வீட்ல எங்க அம்மா எருமை மாடுன்னுதான் சொல்லி என்ன திட்டுவாங்க. அதுக்கு பவர் என்ன இருந்துர போகுதுன்னு தானே யோசிக்கிறீங்க. எருமை மாடுக்கு ஒரு பயங்கரமான சூப்பர் பவர் இருக்குது.
0146.wav,"அதுக்குள்ள எருமை மாடு உட்கார்ந்துட்டு இருக்கும். அங்க என்ன பண்ணுதுன்னு தானே யோசிப்போம். அதோட கண்ணு மட்டும் வெளியே தெரியும். ஆர் தலை மட்டும் வெளியே தெரியும். மூக்கு மட்டும் வெளியே இருக்கும். அந்த மாதிரி ஏதாவது ஒன்னு இருக்கும், கரெக்டா."
0147.wav,பட் எருமை மாடு வந்து தண்ணிக்குள்ள போய் தண்ணிக்குள்ள அதோட கண்ணு வந்து ஒர்க் ஆகுமா கொஞ்ச நிமிஷத்துக்கு. சோ தண்ணிக்குள்ள எங்க செடி இருக்குது அப்படிங்கறத பார்த்து அதை தண்ணிக்குள்ள கிரேஸ் பண்ண முடியும்.
0148.wav,"விச் இஸ் கிரேசி சூப்பர் பவர், கரெக்டா? யோசிச்சு பாருங்களேன், நீங்க அப்படியே தண்ணிக்குள்ள போய் மீனை பிடிச்சு சா ப்பிட்டு வர முடியும்னா அது எவ்வளவு பெரிய ஒரு சூப்பர் பவர். இங்க உள்ள லிட்ரலா நடந்து போய் எங்க மீன் இருக்குன்னு பார்த்து, அதை புடிச்சு சா ப்பிட்டுட்டு வர முடியும்."
0149.wav,"அது எவ்வளவு பெரிய சூப்பர் பவர். எருமை மாட்டுக்கு அந்த சூப்பர் பவர் இருக்குது. சோ, நெக்ஸ்ட் டைம் அம்மா எருமை மாடுன்னு திட்டுனாங்கன்னா, யோசிச்சு பாருங்க. யூ ஆர் எ பர்சன் வித் சூப்பர் பவர்! எனிவே, நெக்ஸ்ட் ஒன் என்னன்னு பார்த்தீங்கன்னா, ஃபிப்த் ஒன் என்னன்னு பார்த்தீங்கன்னா, நம்ம ஊர்ல இருக்கக்கூடிய கிழி."
0150.wav,"ஒரு கிழியோட சூப்பர் பவர் என்னன்னு பார்த்தீங்கன்னால், நம்ம ஹியூமன்ஸ் எல்லாம் வந்து பேர் வச்சு நம்ம கூப்பிட்டுட்டு இருக்கோம், கரெக்டா? கடந்த ஃபியூ, ஆயிரம் இயர்ஸ் நம்ம இதை பண்ணிட்டு இருக்கோம். நம்ம எல்லாருக்குமே ஒரு பேர் இருக்குது."
0151.wav,நம்ம பேரை கான்செப்ட் வச்சு உருவாக்குறதுக்கு முன்னாடியே கிழிங்களுக்குள்ளயே வந்து பேர் இருக்காம். ஒரு ஒரு கிழிக்கும் வந்து பேர் இருக்குது அண்ட் இந்த கிழி வந்து பேர அத சொல்லிதான் கூப்பிட்டுக்குமா.
0152.wav,"அது மட்டும் இல்லாம இந்த நான் சொல்றது காட்டுக்குள்ள, நம்ம வீட்டுல இருக்குற கிழியல்லாம் விட்டுருங்க, அத நம்ம சொல்றத திருப்பி சொல்லுவோம், அதெல்லாம் விட்டுருங்க, காட்டுக்குள்ள இருக்கக்கூடிய கிழி கூட வந்து ஒரு ஒரு கிழிக்கும் வந்து ஏதாவது ஒரு டோன் வச்சு ஐடென்டிஃபை பண்ணிக்கும்."
0153.wav,"பிளஸ், அந்த கிழிக்கு வந்து மேட் பண்ணிடுச்சுன்னா, அதுக்கு வேற மிஸ்டர் மிஸ்சஸ் மாதிரி, மேட் பண்ணிடுச்சுன்னா அதுக்கு வேற சின்ன சேஞ் இந்த டோன்லாம் இருக்குங்கறாங்க, விச் இஸ் கிரேசி!"
